id,user_id,date,symbol,trade_type,broker,strategy,entry_price,exit_price,size,stop_loss,take_profit,pnl,notes,screenshot
101demo,demo,2024-04-01,BTCUSD,long,Binance,Support Bounce,64250.50,65750.25,0.1,63500.00,67000.00,150.00,Bitcoin bounced exactly at the support zone. Multiple timeframe confirmation.,btc_support_bounce.png
102demo,demo,2024-04-02,EURUSD,long,XM,Breakout,1.0725,1.0792,1.0,1.0690,1.0830,67.00,Strong breakout above resistance with increased volume. Took profits at R:R 2:1.,eurusd_breakout.png
103demo,demo,2024-04-03,AAPL,short,IBKR,Double Top,169.75,165.30,5.0,171.50,164.00,222.50,Clear double top pattern with divergence on RSI. Textbook setup.,aapl_double_top.png
104demo,demo,2024-04-04,GBPJPY,long,Oanda,Trend Continuation,189.50,190.75,0.5,188.75,192.00,62.50,Pullback to the 20EMA in an uptrend. Price action confirmed with bullish engulfing candle.,gbpjpy_trend.png
105demo,demo,2024-04-05,TSLA,short,IBKR,Head and Shoulders,175.25,168.40,2.0,178.50,165.00,137.00,Clear head and shoulders pattern completed with neckline break. Volume increased on breakdown.,tsla_h_and_s.png
106demo,demo,2024-04-08,XAUUSD,long,XM,Fibonacci Retracement,2320.75,2345.50,0.5,2305.00,2360.00,124.38,Gold pulled back to 0.618 Fibonacci level and held support. Added on confirmation candle.,gold_fib.png
107demo,demo,2024-04-09,USDJPY,short,Oanda,Resistance Rejection,151.80,150.25,1.0,152.50,149.00,155.00,Strong rejection at major resistance level with bearish engulfing candle. Central bank intervention fears helped the move.,usdjpy_resistance.png
108demo,demo,2024-04-10,AMZN,long,IBKR,Gap Up,180.25,183.50,3.0,178.50,185.00,97.50,Gap up after positive earnings. Bought on first pullback with support from VWAP.,amzn_gap.png
109demo,demo,2024-04-11,ETHUSD,short,Binance,Bearish Divergence,3125.75,3050.20,0.25,3175.00,3000.00,18.89,RSI showed clear bearish divergence on 4H chart. Took half profits at first target.,eth_divergence.png
110demo,demo,2024-04-12,SPY,long,IBKR,Trendline Bounce,500.25,504.50,10.0,498.00,507.00,425.00,Market bounced precisely off the ascending trendline with strong buying volume.,spy_trendline.png
111demo,demo,2024-04-15,NVDA,long,IBKR,Cup and Handle,875.50,890.25,2.0,865.00,905.00,295.00,Textbook cup and handle pattern. Waited for breakout confirmation before entry.,nvda_cup_handle.png
112demo,demo,2024-04-16,USDCAD,short,XM,Double Top,1.3780,1.3720,1.0,1.3820,1.3680,60.00,Double top at key resistance level. Sold on breakdown with confirmation.,usdcad_double_top.png
113demo,demo,2024-04-17,META,long,IBKR,Breakout Retest,480.75,489.30,3.0,476.00,495.00,255.75,Breakout and successful retest of previous resistance. Strong bullish momentum after retest.,meta_breakout.png
114demo,demo,2024-04-18,XAUUSD,short,XM,Overbought RSI,2380.25,2350.75,0.25,2395.00,2340.00,74.38,Gold extremely overbought on RSI with bearish divergence. Short-term correction trade.,gold_overbought.png
115demo,demo,2024-04-19,NFLX,short,IBKR,Earnings Disappointment,590.50,545.25,2.0,610.00,540.00,90.50,Shorted after earnings missed expectations. Took profits at major support level.,nflx_earnings.png
116demo,demo,2024-04-22,AUDUSD,long,Oanda,Triple Bottom,0.6580,0.6630,1.5,0.6555,0.6660,75.00,Triple bottom pattern with increasing bullish momentum. Confirmation with break of minor resistance.,audusd_triple_bottom.png
117demo,demo,2024-04-23,MSFT,long,IBKR,Trend Following,402.25,406.50,4.0,399.00,410.00,170.00,Bought pullback in strong uptrend. 20EMA acted as support.,msft_trend.png
118demo,demo,2024-04-24,EURJPY,short,XM,Channel Breakdown,166.80,165.30,0.75,167.50,164.50,112.50,Price broke down from ascending channel with increased momentum.,eurjpy_channel.png
119demo,demo,2024-04-25,SOLUSDT,long,Binance,Support Zone,145.25,156.50,25.0,140.00,160.00,283.13,Strong accumulation at key support zone. Volume analysis showed whales buying.,sol_support.png
120demo,demo,2024-04-26,ES1!,short,IBKR,Rising Wedge,5125.50,5080.25,0.5,5150.00,5050.00,226.25,Futures broke down from rising wedge pattern. Added to position on retest of breakdown level.,es_wedge.png 
